Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Nov 30 2013,Rhode Island,54,George Mason,61,,
Tue Jan 7 2014,Saint Louis,59,Rhode Island,58,,
Wed Jan 8 2014,Fordham,81,Duquesne,87,,
Wed Jan 8 2014,Saint Joseph's,62,Massachusetts,66,,
Wed Jan 8 2014,Richmond,70,St. Bonaventure,84,,
Thu Jan 9 2014,George Washington,72,La Salle,76,,
Thu Jan 9 2014,George Mason,57,Virginia Commonwealth,71,,
Sat Jan 11 2014,Saint Louis,67,Dayton,59,,
Sat Jan 11 2014,Richmond,77,Fordham,74,OT,
Sat Jan 11 2014,Saint Joseph's,84,George Mason,80,,
Sat Jan 11 2014,Rhode Island,56,George Washington,69,,
Sat Jan 11 2014,St. Bonaventure,68,Massachusetts,73,,
Sun Jan 12 2014,La Salle,75,Duquesne,56,,
Tue Jan 14 2014,Virginia Commonwealth,66,George Washington,76,,
Wed Jan 15 2014,Dayton,80,Fordham,68,,
Wed Jan 15 2014,Massachusetts,88,George Mason,87,,
Wed Jan 15 2014,Rhode Island,62,La Salle,72,,
Wed Jan 15 2014,Duquesne,75,Saint Joseph's,84,,
Wed Jan 15 2014,St. Bonaventure,60,Saint Louis,66,,
Sat Jan 18 2014,George Mason,69,Rhode Island,71,OT,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 18 2014,Dayton,64,Richmond,73,,
Sat Jan 18 2014,Fordham,48,Saint Louis,70,,
Sat Jan 18 2014,George Washington,79,St. Bonaventure,71,,
Sat Jan 18 2014,Duquesne,65,Virginia Commonwealth,80,,
Wed Jan 22 2014,Virginia Commonwealth,80,Dayton,66,,
Wed Jan 22 2014,Saint Louis,76,Duquesne,72,,
Wed Jan 22 2014,George Mason,70,Fordham,76,,
Wed Jan 22 2014,Massachusetts,55,Richmond,58,,
Wed Jan 22 2014,Rhode Island,57,Saint Joseph's,61,,
Wed Jan 22 2014,La Salle,51,St. Bonaventure,66,,
Sat Jan 25 2014,St. Bonaventure,81,Duquesne,83,,
Sat Jan 25 2014,George Washington,75,George Mason,69,,
Sat Jan 25 2014,Virginia Commonwealth,97,La Salle,89,2OT,
Sat Jan 25 2014,Dayton,76,Rhode Island,88,,
Sat Jan 25 2014,Saint Joseph's,62,Richmond,77,,
Sun Jan 26 2014,Fordham,52,Massachusetts,90,,
Wed Jan 29 2014,Saint Joseph's,60,Dayton,57,,
Wed Jan 29 2014,La Salle,47,George Washington,69,,
Wed Jan 29 2014,Richmond,57,Saint Louis,77,,
Wed Jan 29 2014,Massachusetts,65,St. Bonaventure,78,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
