Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Dec 29 2012,Drake,57,Bradley,67,,
Sat Dec 29 2012,Evansville,70,Creighton,87,,
Sun Dec 30 2012,Illinois State,75,Indiana State,77,,
Sun Dec 30 2012,Southern Illinois,59,Missouri State,70,,
Sun Dec 30 2012,Northern Iowa,41,Wichita State,66,,
Wed Jan 2 2013,Wichita State,75,Drake,63,,
Wed Jan 2 2013,Missouri State,59,Evansville,62,OT,
Wed Jan 2 2013,Creighton,79,Illinois State,72,,
Wed Jan 2 2013,Indiana State,65,Northern Iowa,61,,
Wed Jan 2 2013,Bradley,66,Southern Illinois,60,,
Sat Jan 5 2013,Indiana State,66,Creighton,79,,
Sat Jan 5 2013,Missouri State,77,Drake,65,,
Sat Jan 5 2013,Southern Illinois,68,Evansville,85,,
Sat Jan 5 2013,Northern Iowa,70,Illinois State,60,,
Sun Jan 6 2013,Wichita State,69,Bradley,63,,
Tue Jan 8 2013,Drake,61,Creighton,91,,
Tue Jan 8 2013,Illinois State,55,Missouri State,62,,
Wed Jan 9 2013,Bradley,53,Indiana State,68,,
Wed Jan 9 2013,Evansville,62,Northern Iowa,59,,
Wed Jan 9 2013,Southern Illinois,76,Wichita State,82,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Fri Jan 11 2013,Creighton,74,Missouri State,52,,
Sat Jan 12 2013,Drake,82,Illinois State,77,,
Sat Jan 12 2013,Bradley,53,Northern Iowa,84,,
Sat Jan 12 2013,Indiana State,71,Southern Illinois,76,,
Sun Jan 13 2013,Wichita State,67,Evansville,71,,
Tue Jan 15 2013,Southern Illinois,66,Bradley,69,,
Tue Jan 15 2013,Northern Iowa,68,Creighton,79,,
Wed Jan 16 2013,Evansville,69,Drake,83,,
Wed Jan 16 2013,Missouri State,60,Indiana State,68,,
Wed Jan 16 2013,Illinois State,62,Wichita State,74,,
Sat Jan 19 2013,Missouri State,66,Bradley,69,,
Sat Jan 19 2013,Evansville,62,Indiana State,72,,
Sat Jan 19 2013,Creighton,64,Wichita State,67,,
Sun Jan 20 2013,Drake,55,Northern Iowa,85,,
Sun Jan 20 2013,Illinois State,70,Southern Illinois,56,,
Wed Jan 23 2013,Creighton,69,Drake,74,,
Wed Jan 23 2013,Bradley,56,Evansville,66,,
Wed Jan 23 2013,Indiana State,58,Illinois State,60,,
Wed Jan 23 2013,Wichita State,62,Missouri State,52,,
Wed Jan 23 2013,Southern Illinois,45,Northern Iowa,58,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 26 2013,Evansville,62,Illinois State,67,,
Sat Jan 26 2013,Northern Iowa,58,Indiana State,59,,
Sat Jan 26 2013,Bradley,39,Wichita State,73,,
Sun Jan 27 2013,Drake,72,Missouri State,78,,
Sun Jan 27 2013,Creighton,81,Southern Illinois,51,,
Tue Jan 29 2013,Illinois State,77,Bradley,83,,
Tue Jan 29 2013,Northern Iowa,51,Evansville,54,OT,
Tue Jan 29 2013,Indiana State,68,Wichita State,55,,
Wed Jan 30 2013,Missouri State,77,Creighton,91,,
Wed Jan 30 2013,Drake,61,Southern Illinois,56,,
Sat Feb 2 2013,Bradley,58,Creighton,75,,
Sat Feb 2 2013,Indiana State,71,Drake,74,OT,
Sat Feb 2 2013,Southern Illinois,47,Illinois State,83,,
Sat Feb 2 2013,Evansville,61,Missouri State,62,,
Sat Feb 2 2013,Wichita State,52,Northern Iowa,57,,
Tue Feb 5 2013,Evansville,70,Bradley,76,,
Tue Feb 5 2013,Missouri State,37,Northern Iowa,48,,
Tue Feb 5 2013,Wichita State,62,Southern Illinois,64,,
Wed Feb 6 2013,Illinois State,94,Drake,86,,
Wed Feb 6 2013,Creighton,57,Indiana State,76,,
